,BC,O3,PM2.5,MERRA2-BC
2019-01-22 10,,,,3.962528247833255
2019-01-22 11,,,,4.243600711822514
2019-01-22 12,,,,4.516916332244877
2019-01-22 13,,,,4.787586441040044
2019-01-22 14,,,,5.063999557495122
2019-01-22 15,,,,5.354378089904791
2019-01-22 16,,,,5.6618638229370175
2019-01-22 17,,,,5.965064220428474
2019-01-22 18,,,,6.238918380737313
2019-01-22 19,,,,6.4815086555481045
2019-01-22 20,,,,6.683344287872323
2019-01-22 21,,,,6.830524311065683
2019-01-22 22,,,,6.963238735198984
2019-01-22 23,,,,7.100610466003428
2019-01-23 00,,,,7.107810249328624
2019-01-23 01,,,,5.669499835968024
2019-01-23 02,,,,4.179166307449344
2019-01-23 03,,,,4.082176132202148
2019-01-23 04,,,,3.852546834945679
2019-01-23 05,,,,3.633431730270386
2019-01-23 06,,,,1.9411529350280756
2019-01-23 07,,,,1.9119783687591547
2019-01-23 08,,,,1.930135250091552
2019-01-23 09,,,,2.0341095256805413
2019-01-23 10,,,,2.296445417404174
2019-01-23 11,,,,2.615423259735107
2019-01-23 12,,,,2.9499309253692627
2019-01-23 13,,,,3.2989604187011725
2019-01-23 14,,,,3.6217220783233657
2019-01-23 15,,,,3.8932230758667017
2019-01-23 16,,,,4.108523683547977
2019-01-23 17,,,,4.287226266860966
2019-01-23 18,,,,4.439135560989384
2019-01-23 19,,,,4.587858915328984
2019-01-23 20,,,,4.768961277008062
2019-01-23 21,,,,4.975227622985845
2019-01-23 22,,,,5.190378875732428
2019-01-23 23,,,,5.397453498840339
2019-01-24 00,0.73,6.88,150.09,5.474433021545418
2019-01-24 01,0.82,3.64,167.09,3.77219574928284
2019-01-24 02,0.84,0.99,171.28,2.5942963504791274
2019-01-24 03,0.7,0.19,142.46,2.090892171859741
2019-01-24 04,0.66,0.25,120.24,1.8054208469390864
2019-01-24 05,0.93,0.0,137.27,1.5934735059738148
2019-01-24 06,1.01,0.15,175.06,1.2860254716873143
2019-01-24 07,1.12,0.54,115.1,1.2452802848815892
2019-01-24 08,1.02,1.15,166.75,1.2797137165069548
2019-01-24 09,9.0,4.91,155.49,1.521475448608394
2019-01-24 10,11.52,10.19,173.21,2.03304806709289
2019-01-24 11,6.79,23.39,142.39,2.744418535232537
2019-01-24 12,6.08,39.33,91.44,3.4688856124877865
2019-01-24 13,6.42,47.34,85.65,3.7495918846130314
2019-01-24 14,6.37,43.62,93.04,3.731911468505853
2019-01-24 15,6.29,37.46,94.85,3.6626443290710418
2019-01-24 16,6.65,25.8,89.09,3.544155416488646
2019-01-24 17,7.66,20.64,89.07,3.442255983352662
2019-01-24 18,8.25,15.28,104.71,3.365821704864503
2019-01-24 19,6.99,13.16,109.91,3.319946680068972
2019-01-24 20,6.6,26.11,115.41,3.315690240859988
2019-01-24 21,5.52,37.38,107.77,3.3155448436737096
2019-01-24 22,9.4,9.51,145.93,3.3421385002136272
2019-01-24 23,8.73,4.15,146.17,3.388595829010015
2019-01-25 00,8.35,1.27,142.24,3.3977634525299125
2019-01-25 01,7.75,1.49,147.39,2.2538196611404446
2019-01-25 02,7.46,1.88,126.75,1.5927448511123676
2019-01-25 03,7.99,3.0,158.16,1.1699024724960327
2019-01-25 04,8.43,2.05,140.22,1.068330636024475
2019-01-25 05,8.4,2.32,190.62,1.0059755778312685
2019-01-25 06,10.12,0.29,197.85,1.1753036069869982
2019-01-25 07,11.15,0.42,171.13,1.2154305744171128
2019-01-25 08,12.97,1.42,224.2,1.3572753095626813
2019-01-25 09,14.45,3.41,205.39,1.668886365890501
2019-01-25 10,12.5,6.06,210.27,2.1269443702697743
2019-01-25 11,11.71,8.57,208.9,2.5679400920867925
2019-01-25 12,10.1,13.26,200.2,2.8477733612060567
2019-01-25 13,9.79,23.5,211.92,2.805099954605105
2019-01-25 14,9.37,26.49,214.3,2.6557245826721214
2019-01-25 15,10.12,21.91,197.59,2.608612756729128
2019-01-25 16,7.83,23.96,200.75,2.6738416576385515
2019-01-25 17,8.76,19.88,202.24,2.786073560714724
2019-01-25 18,8.01,16.59,197.84,2.908163852691652
2019-01-25 19,7.18,12.26,165.38,3.058995103836061
2019-01-25 20,7.24,10.75,148.83,3.2177197647094737
2019-01-25 21,5.85,12.11,154.17,3.408058557510377
2019-01-25 22,8.13,13.79,157.34,3.6479832172393807
2019-01-25 23,6.61,6.87,143.16,3.878595113754273
2019-01-26 00,3.34,11.05,110.59,4.036992511749268
2019-01-26 01,2.81,15.79,108.09,3.92559747695923
2019-01-26 02,3.3,14.6,97.15,3.68905682563782
2019-01-26 03,3.99,4.41,125.25,3.522400207519534
2019-01-26 04,3.67,0.83,134.25,3.218992815017703
2019-01-26 05,3.49,2.88,134.42,2.958004369735721
2019-01-26 06,3.44,1.31,148.53,3.123568639755249
2019-01-26 07,3.28,1.77,136.24,2.9484728527069093
2019-01-26 08,2.19,9.73,132.45,2.9501465892791745
2019-01-26 09,1.84,19.59,97.74,3.128087692260741
2019-01-26 10,2.04,23.85,93.36,3.4829374504089343
2019-01-26 11,1.93,35.46,97.93,3.918261470794676
2019-01-26 12,1.33,46.35,85.28,4.356261215209959
2019-01-26 13,1.19,54.07,71.77,4.772591514587401
2019-01-26 14,1.43,54.2,75.2,5.133697719573975
2019-01-26 15,1.02,51.22,83.68,5.432449131011964
2019-01-26 16,1.12,45.39,95.26,5.664625988006594
2019-01-26 17,1.29,35.46,101.48,5.85954944610596
2019-01-26 18,1.24,22.25,102.12,6.0562901306152375
2019-01-26 19,1.43,12.27,120.46,6.231135063171391
2019-01-26 20,1.68,4.98,134.69,6.357739868164066
2019-01-26 21,1.53,0.89,147.5,6.463596820831303
2019-01-26 22,1.49,0.09,152.14,6.491318721771244
2019-01-26 23,1.45,0.04,164.02,6.390838165283207
2019-01-27 00,1.39,0.0,162.93,6.274422168731694
2019-01-27 01,1.87,0.0,169.51,4.883331737518313
2019-01-27 02,1.63,0.01,177.64,3.529785337448123
2019-01-27 03,1.42,0.02,183.74,3.467757759094244
2019-01-27 04,1.32,0.0,189.45,2.769957079887395
2019-01-27 05,1.26,0.0,183.57,2.2931272554397624
2019-01-27 06,1.0,0.0,161.94,1.570042476654054
2019-01-27 07,0.95,0.24,153.06,1.5381920003891003
2019-01-27 08,1.18,2.11,159.59,1.5416299867630014
2019-01-27 09,1.47,9.65,176.52,1.6391642332077037
2019-01-27 10,1.01,22.08,160.0,1.8433094549179083
2019-01-27 11,1.09,40.86,135.0,2.043671264648438
2019-01-27 12,0.84,43.87,132.34,2.253110065460205
2019-01-27 13,0.37,64.88,122.36,2.4837230873107914
2019-01-27 14,0.39,73.54,73.19,2.742929010391236
2019-01-27 15,0.31,74.33,70.74,3.030727767944337
2019-01-27 16,0.16,61.98,47.62,3.3071057605743426
2019-01-27 17,0.32,36.58,39.73,3.5593323993682886
2019-01-27 18,0.47,32.23,43.81,3.795540208816532
2019-01-27 19,0.34,33.15,41.95,4.025169935226445
2019-01-27 20,0.33,38.68,42.84,4.239447650909429
2019-01-27 21,0.22,31.65,59.04,4.441900377273566
2019-01-27 22,0.36,37.44,55.19,4.647049837112434
2019-01-27 23,0.22,36.67,60.44,4.852236680984506
2019-01-28 00,0.21,46.11,51.48,4.666654701232919
2019-01-28 01,0.2,48.62,57.94,2.840298690795903
2019-01-28 02,0.21,48.46,59.33,2.135525860786441
2019-01-28 03,1.96,51.46,55.91,1.6399463796615597
2019-01-28 04,0.29,54.77,59.76,1.478511490821838
2019-01-28 05,0.43,55.03,56.22,1.3706455850601191
2019-01-28 06,0.48,31.03,68.85,1.0758958530426015
2019-01-28 07,0.45,23.3,74.6,1.103126349449157
2019-01-28 08,0.25,51.43,64.81,1.1757226467132562
2019-01-28 09,0.44,60.11,55.56,1.351691937446594
2019-01-28 10,0.37,60.25,55.51,1.657555918693543
2019-01-28 11,9.0,72.68,57.76,1.9300975608825692
2019-01-28 12,3.15,91.31,56.73,2.1458436298370382
2019-01-28 13,2.42,89.68,48.3,2.310735092163089
2019-01-28 14,2.18,77.46,37.79,2.45385502815247
2019-01-28 15,2.93,64.89,34.37,2.605577497482305
2019-01-28 16,2.64,63.45,37.06,2.779273843765265
2019-01-28 17,2.74,52.46,41.48,2.9713420486450266
2019-01-28 18,2.09,38.86,38.45,3.1719965982437217
2019-01-28 19,2.76,30.4,36.28,3.353826484680185
2019-01-28 20,2.19,20.1,44.52,3.540387954711924
2019-01-28 21,1.99,33.06,42.92,3.729365630149853
2019-01-28 22,1.52,34.81,38.88,3.9215627574920777
2019-01-28 23,1.38,38.02,36.1,4.112706284523024
2019-01-29 00,2.06,36.07,34.11,3.9662155532837047
2019-01-29 01,1.37,40.23,35.4,2.1044803667068543
2019-01-29 02,1.28,42.36,36.05,1.4819771981239365
2019-01-29 03,2.09,39.7,36.8,1.1758129191398643
2019-01-29 04,1.83,33.71,39.14,0.9582077479362504
2019-01-29 05,2.32,37.39,37.37,0.8022207641601574
2019-01-29 06,2.44,26.27,39.48,0.8972346901893617
2019-01-29 07,4.23,13.7,61.59,0.8300321364402772
2019-01-29 08,4.18,13.29,75.7,0.8125789499282836
2019-01-29 09,4.02,23.46,68.32,0.9026189184188842
2019-01-29 10,4.74,39.19,79.27,1.0991971349716188
2019-01-29 11,5.02,60.59,88.42,1.3045610475540166
2019-01-29 12,4.45,54.08,74.29,1.501502995491029
2019-01-29 13,3.53,50.24,61.25,1.658263511657717
2019-01-29 14,4.45,42.85,74.04,1.712833142280581
2019-01-29 15,3.9,27.56,90.91,1.7320780754089384
2019-01-29 16,3.79,30.95,68.87,1.808239202499393
2019-01-29 17,3.39,31.22,67.15,1.915941615104679
2019-01-29 18,3.87,23.79,54.73,2.0339395618438765
2019-01-29 19,1.49,23.78,34.04,2.1380224657058764
2019-01-29 20,2.08,24.93,28.84,2.2299906539917047
2019-01-29 21,2.12,21.7,40.81,2.32446832656861
2019-01-29 22,2.08,23.25,39.65,2.4265863513946604
2019-01-29 23,3.17,21.66,58.98,2.501201305389412
2019-01-30 00,1.28,19.76,42.32,2.459018940925606
2019-01-30 01,1.29,20.61,33.58,1.4400303626060529
2019-01-30 02,1.58,8.09,40.94,0.7700693762302415
2019-01-30 03,1.31,4.3,41.58,0.8512597799301154
2019-01-30 04,1.31,14.08,39.74,0.7495418691635133
2019-01-30 05,1.24,24.25,36.25,0.6989921355247496
2019-01-30 06,1.5,27.51,29.11,0.7363450860977168
2019-01-30 07,1.79,17.87,27.04,0.7086146140098566
2019-01-30 08,2.01,21.58,29.01,0.7171092987060543
2019-01-30 09,2.1,25.53,33.34,0.7845574355125426
2019-01-30 10,2.06,22.27,35.54,0.9181530928611756
2019-01-30 11,1.45,29.54,32.41,1.0573785209655766
2019-01-30 12,1.12,36.45,26.82,1.195003294944764
2019-01-30 13,1.7,39.52,20.12,1.3386670255661024
2019-01-30 14,1.14,43.35,15.21,1.4361467695236223
2019-01-30 15,1.77,29.02,19.57,1.5310798025131247
2019-01-30 16,1.31,33.69,17.2,1.63889147281647
2019-01-30 17,1.19,29.26,16.56,1.768985853195194
2019-01-30 18,1.41,29.25,19.41,1.9020443677902263
2019-01-30 19,1.09,27.43,18.85,2.0365951824188286
2019-01-30 20,1.38,26.79,21.62,2.169072113037116
2019-01-30 21,1.41,26.96,23.18,2.296364922523505
2019-01-30 22,2.13,25.02,25.24,2.414144787788399
2019-01-30 23,1.28,22.64,24.29,2.523138651847848
2019-01-31 00,1.04,19.75,27.84,2.3261786222457967
2019-01-31 01,1.29,23.3,28.74,1.1474465703964267
2019-01-31 02,0.84,24.23,28.12,0.7294434702396413
2019-01-31 03,1.51,24.91,32.01,0.9534778857231144
2019-01-31 04,1.7,23.65,36.7,0.8717145466804508
2019-01-31 05,2.74,17.35,32.84,0.821328847408295
2019-01-31 06,2.87,12.21,32.87,1.9725848627090452
2019-01-31 07,2.64,9.31,31.76,1.9536857604980475
2019-01-31 08,2.34,13.93,34.58,2.0212436866760264
2019-01-31 09,2.98,24.82,38.47,2.147699003219606
2019-01-31 10,3.56,21.72,43.46,2.321504096984866
2019-01-31 11,2.18,31.95,41.95,2.4604760599136384
2019-01-31 12,2.23,46.54,33.18,2.5413832664489777
2019-01-31 13,2.39,56.87,38.37,2.5899513816833526
2019-01-31 14,2.3,66.05,36.71,2.665148754119876
2019-01-31 15,2.73,69.28,39.5,2.7750881958007847
2019-01-31 16,2.82,67.16,39.31,2.8991071033477818
2019-01-31 17,3.57,35.85,35.9,3.0217792224884072
2019-01-31 18,,28.41,35.63,3.101706209182744
2019-01-31 19,1.44,26.35,29.55,3.0859953594207816
2019-01-31 20,1.38,26.99,24.27,2.922432308197027
2019-01-31 21,1.64,31.2,23.71,2.610122842788701
2019-01-31 22,1.49,32.04,27.11,2.312827472686771
2019-01-31 23,1.71,35.06,28.54,2.196431498527529
2019-02-01 00,1.68,32.93,29.58,2.138658676147461
2019-02-01 01,2.08,35.12,37.5,2.0020888614654537
2019-02-01 02,1.6,30.93,36.68,1.9160143470764155
2019-02-01 03,1.63,29.58,35.51,2.2386303234100344
2019-02-01 04,1.6,28.44,35.06,2.124979791641236
2019-02-01 05,2.14,23.47,39.08,2.045963287353516
2019-02-01 06,3.07,8.98,45.15,1.9781146383285528
2019-02-01 07,3.97,2.38,43.19,1.9975413560867312
2019-02-01 08,3.44,5.44,47.17,2.0378865814208984
2019-02-01 09,3.78,9.71,52.69,2.135311689376832
2019-02-01 10,4.82,19.99,57.58,2.3640679836273195
2019-02-01 11,,21.59,52.43,2.6222192096710213
2019-02-01 12,5.12,41.26,44.5,2.838897266387941
2019-02-01 13,,47.54,32.16,3.014757528305056
2019-02-01 14,,50.0,28.4,3.162023258209232
2019-02-01 15,,51.46,30.15,3.3024857711792026
2019-02-01 16,3.28,47.73,36.22,3.4572817611694378
2019-02-01 17,,44.33,53.82,3.628011617660527
2019-02-01 18,,45.23,54.22,3.813802394866949
2019-02-01 19,,37.8,48.44,3.9867881107330394
2019-02-01 20,4.02,34.25,50.43,4.162466135025031
2019-02-01 21,,38.01,43.38,4.34549304962159
2019-02-01 22,,35.56,45.45,4.5326306629181
2019-02-01 23,,37.72,47.37,4.722860670089731
2019-02-02 00,3.15,45.66,42.51,4.228859434127816
2019-02-02 01,,52.29,38.22,2.774831943511968
2019-02-02 02,,57.45,34.63,2.025390391349796
2019-02-02 03,,57.85,35.38,1.6696686077117937
2019-02-02 04,2.23,56.97,35.61,1.4695797204971326
2019-02-02 05,,43.01,37.37,1.3383579540252692
2019-02-02 06,,26.82,46.48,1.0142684936523427
2019-02-02 07,,20.84,45.56,1.0444638299942006
2019-02-02 08,2.57,28.76,42.37,1.1144772386550894
2019-02-02 09,,28.13,43.04,1.303999152183532
2019-02-02 10,,31.49,49.78,1.5828708410263062
2019-02-02 11,,43.84,49.77,1.8098820352554328
2019-02-02 12,3.02,51.85,51.07,1.9764595222473151
2019-02-02 13,,58.08,46.96,2.0983526515960707
2019-02-02 14,,55.2,35.44,2.215760703086855
2019-02-02 15,4.03,50.51,47.24,2.3323843383789087
2019-02-02 16,3.23,58.26,50.55,2.434469165802005
2019-02-02 17,,55.4,50.24,2.5517568969726607
2019-02-02 18,,41.72,46.91,2.6712107658386284
2019-02-02 19,,38.31,44.02,2.765779356956489
2019-02-02 20,3.28,36.99,42.47,2.865477695465096
2019-02-02 21,,33.94,46.38,2.990347146987924
2019-02-02 22,,31.48,45.77,3.137214217185984
2019-02-02 23,,28.11,47.36,3.30771200656892
2019-02-03 00,3.25,29.3,47.8,3.190307335853588
2019-02-03 01,,32.54,42.09,1.8192542076110907
2019-02-03 02,,32.36,42.52,1.350642185211186
2019-02-03 03,3.12,27.19,41.34,0.8854476904869093
2019-02-03 04,2.14,21.58,42.33,0.8571549963951118
2019-02-03 05,,21.42,50.11,0.8497627305984501
2019-02-03 06,,19.31,49.47,1.092230563163758
2019-02-03 07,3.11,20.16,42.42,1.0949784183502205
2019-02-03 08,2.68,24.68,56.05,1.128307929039002
2019-02-03 09,,31.25,41.61,1.212447471618653
2019-02-03 10,,41.24,54.91,1.416101679801942
2019-02-03 11,3.7,43.34,47.38,1.6136080169677756
2019-02-03 12,3.13,45.76,41.83,1.7064121532440215
2019-02-03 13,,47.72,36.88,1.6724521017074616
2019-02-03 14,,53.85,36.92,1.612444648742679
2019-02-03 15,3.52,51.98,37.7,1.638418354988101
2019-02-03 16,3.18,45.98,42.41,1.726530218124393
2019-02-03 17,,38.13,51.06,1.8402351427078285
2019-02-03 18,,34.22,40.26,1.9736217164993328
2019-02-03 19,4.32,28.15,37.83,2.1345845317840624
2019-02-03 20,3.64,22.95,38.31,2.30129528522492
2019-02-03 21,,23.12,29.36,2.4619120645523136
2019-02-03 22,,22.05,28.1,2.6266768693924027
2019-02-03 23,2.94,21.99,29.34,2.7714505147934045
2019-02-04 00,1.78,22.07,24.04,2.469842338562019
2019-02-04 01,,15.49,33.49,1.3317292737960846
2019-02-04 02,,16.52,37.38,0.9723424434661884
2019-02-04 03,4.18,20.31,42.6,0.8132157754898078
2019-02-04 04,4.01,21.16,54.02,0.7693889093399056
2019-02-04 05,,21.97,53.02,0.7366315484046944
2019-02-04 06,,20.86,41.71,0.6246230840682987
2019-02-04 07,1.76,19.0,34.43,0.6423049473762517
2019-02-04 08,1.54,18.69,31.62,0.6782396411895757
2019-02-04 09,,22.7,30.09,0.800328044891358
2019-02-04 10,,27.76,31.51,1.026919536590577
2019-02-04 11,2.87,31.96,38.25,1.2139207601547253
2019-02-04 12,2.38,37.47,40.55,1.3589487648010268
2019-02-04 13,,44.15,37.83,1.4608485460281384
2019-02-04 14,,47.43,36.81,1.5879595518112195
2019-02-04 15,2.37,51.24,32.4,1.741373152732851
2019-02-04 16,2.06,46.6,33.52,1.9046820020675683
2019-02-04 17,,38.34,28.3,2.071192245483402
2019-02-04 18,,28.42,27.73,2.241777338981633
2019-02-04 19,2.2,26.63,26.09,2.420802507400518
2019-02-04 20,1.88,24.98,27.22,2.6096502685546943
2019-02-04 21,,22.05,25.49,2.805045533180245
2019-02-04 22,,21.72,26.11,3.016213116645823
2019-02-04 23,2.85,19.29,28.92,3.2315823173523066
2019-02-05 00,2.38,8.49,47.67,3.095010533332836
2019-02-05 01,,6.46,42.44,1.7952789402008125
2019-02-05 02,,7.27,44.6,1.3447697734832806
2019-02-05 03,1.47,3.16,34.33,1.4123545312881485
2019-02-05 04,1.3,4.63,29.64,1.213958559036256
2019-02-05 05,,7.97,36.22,1.1014371967315684
2019-02-05 06,,10.69,39.59,1.2624877595901498
2019-02-05 07,1.9,14.01,41.79,1.1986958026885997
2019-02-05 08,1.54,13.08,38.37,1.174030580520631
2019-02-05 09,,13.12,35.47,1.188691534996034
2019-02-05 10,,24.0,30.64,1.3350666379928604
2019-02-05 11,2.03,29.19,39.88,1.4864247655868552
2019-02-05 12,1.69,45.82,36.62,1.5176919841766383
2019-02-05 13,,58.77,31.67,1.4410398912429838
2019-02-05 14,,66.16,30.08,1.3643152737617517
2019-02-05 15,1.91,69.7,28.78,1.363532600402834
2019-02-05 16,1.68,66.26,27.4,1.4527722501754785
2019-02-05 17,,56.16,24.93,1.5978003215789822
2019-02-05 18,,39.78,28.2,1.7787897253036535
2019-02-05 19,1.48,31.46,21.0,2.004999289512639
2019-02-05 20,0.94,27.1,16.32,2.250580954551703
2019-02-05 21,,23.1,18.56,2.5023109722137526
2019-02-05 22,,19.24,20.38,2.767392673492441
2019-02-05 23,1.41,13.95,19.76,3.061850967407237
2019-02-06 00,0.85,12.8,21.15,3.0709452342987174
2019-02-06 01,,11.79,22.6,1.7102239394187988
2019-02-06 02,,10.78,23.83,1.15007562875748
2019-02-06 03,1.03,6.93,23.96,0.9735049486160297
2019-02-06 04,0.77,4.25,23.31,0.8906045007705701
2019-02-06 05,,0.64,22.8,0.8266038560867317
2019-02-06 06,,2.02,23.58,0.6593292641639715
2019-02-06 07,1.11,6.33,20.42,0.6419774007797245
2019-02-06 08,1.0,5.62,18.14,0.6667255687713627
2019-02-06 09,,7.82,16.03,0.7912785911560064
2019-02-06 10,,15.9,16.79,1.0065741252899183
2019-02-06 11,1.22,27.43,16.62,1.1813608360290546
2019-02-06 12,1.14,43.23,15.87,1.3172121071815517
2019-02-06 13,,50.49,14.78,1.4522720217704808
2019-02-06 14,,50.81,15.92,1.6124431610107464
2019-02-06 15,1.25,48.82,14.15,1.8030005359649703
2019-02-06 16,0.89,43.62,13.25,2.0245534324646046
2019-02-06 17,,38.21,13.33,2.2588755321502743
2019-02-06 18,,32.62,15.64,2.496853928565985
2019-02-06 19,1.21,26.48,14.81,2.736924247741705
2019-02-06 20,0.96,16.99,15.0,2.9565856647491517
2019-02-06 21,,17.26,14.75,3.152345046997076
2019-02-06 22,,20.51,15.11,3.316163425445562
2019-02-06 23,1.39,21.92,15.79,3.442802162170415
2019-02-07 00,0.85,20.15,16.22,3.4415280342102093
2019-02-07 01,,20.2,17.46,2.978922834396367
2019-02-07 02,,16.44,20.26,2.114557447433475
2019-02-07 03,1.06,9.63,22.16,1.5598016071319585
2019-02-07 04,0.82,10.32,24.19,1.261942105293273
2019-02-07 05,,12.3,24.77,1.1314115667343132
2019-02-07 06,,10.38,28.44,1.1571683359146103
2019-02-07 07,3.64,9.01,42.82,1.0943403768539417
2019-02-07 08,1.96,9.6,39.67,1.051539702415465
2019-02-07 09,,17.9,39.45,1.0636176919937117
2019-02-07 10,,31.01,35.2,1.3263888740539538
2019-02-07 11,1.8,42.26,52.9,1.630778589248657
2019-02-07 12,1.73,60.39,31.25,1.873140754699709
2019-02-07 13,,85.78,30.51,1.999033021926884
2019-02-07 14,,86.01,25.22,2.0856168270111137
2019-02-07 15,2.11,73.62,22.93,2.235083246231085
2019-02-07 16,2.31,65.02,40.18,2.444976491928107
2019-02-07 17,,60.76,37.96,2.687393116950996
2019-02-07 18,,49.66,38.46,2.9608420991897653
2019-02-07 19,2.1,40.61,30.13,3.2249229049682686
2019-02-07 20,1.75,36.17,34.41,3.458008432388312
2019-02-07 21,,39.26,29.93,3.661516628265386
2019-02-07 22,,39.57,36.52,3.8209338283538856
2019-02-07 23,1.76,26.86,34.16,3.917559976577761
2019-02-08 00,1.43,1.14,30.69,3.908280715942384
2019-02-08 01,,15.58,33.55,3.4233763217926034
2019-02-08 02,,15.97,39.07,2.694909467697144
2019-02-08 03,1.95,14.08,45.62,1.9066647243499737
2019-02-08 04,1.66,13.62,47.74,1.4631956005096418
2019-02-08 05,,13.74,40.56,1.302981305122374
2019-02-08 06,,10.2,37.14,1.2601235437393172
2019-02-08 07,3.86,8.92,43.64,1.1871169853210433
2019-02-08 08,1.69,15.4,41.39,1.134154911041258
2019-02-08 09,,17.35,42.52,1.134230976104735
2019-02-08 10,,36.0,60.21,1.3929825925827013
2019-02-08 11,2.74,57.97,54.78,1.754199862480163
2019-02-08 12,2.33,72.6,33.11,2.1169046163558973
2019-02-08 13,,74.21,21.42,2.373929710388188
2019-02-08 14,,75.43,19.8,2.53795122146607
2019-02-08 15,1.91,72.38,15.44,2.742540869712837
2019-02-08 16,2.11,76.0,18.34,3.03892259120942
2019-02-08 17,,62.18,21.21,3.3938306522369475
2019-02-08 18,,55.19,24.38,3.7716395282745454
2019-02-08 19,2.4,47.99,29.64,4.140571746826182
2019-02-08 20,1.72,41.76,32.26,4.441617460250864
2019-02-08 21,,36.47,35.7,4.673093814849863
2019-02-08 22,,37.03,33.73,4.831166210174569
2019-02-08 23,2.07,35.03,36.32,4.882174329757697
2019-02-09 00,1.9,31.81,46.71,4.7390495300293
2019-02-09 01,,36.13,45.18,3.856331129074101
2019-02-09 02,,38.71,46.76,3.136159048080448
2019-02-09 03,2.2,37.92,41.85,2.6543060970306427
2019-02-09 04,1.65,37.85,44.76,2.2582584714889555
2019-02-09 05,,37.3,46.42,2.017861313819888
2019-02-09 06,,32.55,45.21,1.9525420188903813
2019-02-09 07,3.24,16.6,46.47,1.8864410972595216
2019-02-09 08,,20.58,41.72,1.905868983268738
2019-02-09 09,,29.15,46.28,2.002745008468628
2019-02-09 10,,35.74,40.42,2.249658670425416
2019-02-09 11,2.99,49.39,39.81,2.4582958984375014
2019-02-09 12,,64.85,41.93,2.5246126937866245
2019-02-09 13,,73.19,38.8,2.451968712806706
2019-02-09 14,,76.18,29.9,2.2992675447464044
2019-02-09 15,2.15,68.38,21.61,2.253802137374884
2019-02-09 16,,57.76,21.01,2.2190474796295225
2019-02-09 17,,37.76,20.59,2.188628463745123
2019-02-09 18,,32.34,22.09,2.1998495626449643
2019-02-09 19,1.69,33.12,21.5,2.20114578723908
2019-02-09 20,,32.62,21.04,2.22065599918366
2019-02-09 21,,28.98,20.82,2.252948060035709
2019-02-09 22,,28.68,17.81,2.336570010185244
2019-02-09 23,1.3,29.19,18.08,2.4266493225097667
2019-02-10 00,,28.06,16.32,2.421258125305177
2019-02-10 01,,26.7,17.42,1.5712278699874866
2019-02-10 02,,22.86,17.53,0.9605380487442006
2019-02-10 03,1.22,21.16,19.29,1.1907306909561155
2019-02-10 04,,21.68,21.22,1.080978260040283
2019-02-10 05,,17.44,23.87,1.023332848548889
2019-02-10 06,,16.4,26.31,1.6232298994064325
2019-02-10 07,2.32,14.0,27.93,1.7049407005310055
2019-02-10 08,,13.68,29.84,1.8255427551269532
2019-02-10 09,,26.38,31.47,1.9912120819091808
2019-02-10 10,,27.81,58.16,2.1816966295242324
2019-02-10 11,1.77,34.4,21.89,2.317466354370119
2019-02-10 12,,41.37,20.1,2.4071791934967064
2019-02-10 13,,42.81,18.51,2.3910262870788594
2019-02-10 14,,42.05,18.19,2.3089534950256367
2019-02-10 15,1.62,37.0,16.76,2.268861951828005
2019-02-10 16,,30.51,15.79,2.2319003725051902
2019-02-10 17,,27.9,17.58,2.235467185974123
2019-02-10 18,,23.91,27.19,2.313026876449586
2019-02-10 19,2.19,22.86,29.57,2.4770269298553456
2019-02-10 20,,22.96,29.36,2.671586103439328
2019-02-10 21,,25.51,25.79,2.9621514606475805
2019-02-10 22,,26.7,29.14,3.2134997653961173
2019-02-10 23,1.79,24.76,31.98,3.2732355117797853
2019-02-11 00,,23.39,32.1,3.327332391738893
