Tstamp,station_ID,pm25,pm10,h,t
2024-01-05 06:55:53,A364435,179,83,63,22.7
2024-01-05 06:55:30,A358570,170,72,63,23.3
2024-01-05 06:55:59,A06487,172,73,75,23.8
2024-01-05 07:56:47,A230398,128,49,64,23.8
2024-01-05 07:55:40,A230383,171,76,62,23.8
2024-01-05 07:57:00,A230626,164,71,68,23.3
2024-01-05 07:49:04,A230443,153,59,64,23.8
2024-01-05 07:55:44,A231934,178,83,92,23.3
2024-01-05 07:56:03,A364435,191,96,62,23.3
2024-01-05 07:55:31,A358570,181,86,63,23.3
2024-01-05 07:56:00,A06487,186,91,76,23.8
2024-01-05 08:56:48,A230398,5,1,61,24.4
2024-01-05 08:57:41,A230383,170,74,59,25
2024-01-05 08:57:01,A230626,159,65,64,23.8
2024-01-05 08:51:15,A230443,152,57,61,24.4
2024-01-05 08:57:45,A231934,178,84,85,23.8
2024-01-05 08:56:04,A364435,177,81,58,24.4
2024-01-05 08:57:32,A358570,169,71,60,23.8
2024-01-05 08:56:01,A06487,172,75,71,24.4
2024-01-05 09:56:50,A230398,5,1,60,25
2024-01-05 09:57:42,A230383,170,74,56,25.5
2024-01-05 09:57:02,A230626,161,68,60,25.5
2024-01-05 09:41:18,A230443,153,58,59,25
2024-01-05 09:57:47,A231934,186,93,82,25
2024-01-05 09:56:05,A364435,177,82,57,25
2024-01-05 09:55:33,A358570,179,82,59,24.4
2024-01-05 09:56:02,A06487,173,76,70,25.5
2024-01-05 10:54:51,A230398,4,1,59,25.5
2024-01-05 10:53:43,A230383,169,74,53,26.6
2024-01-05 10:55:03,A230626,163,70,59,25.5
2024-01-05 10:55:12,A230443,150,55,57,11.1
2024-01-05 10:53:48,A231934,182,88,80,25.5
2024-01-05 10:54:06,A364435,183,87,56,25
2024-01-05 10:53:34,A358570,181,84,59,24.4
2024-01-05 10:56:03,A06487,179,82,68,25.5
2024-01-05 11:54:52,A230398,162,68,58,26.1
2024-01-05 11:55:44,A230383,194,100,51,27.7
2024-01-05 11:57:05,A230626,156,64,53,27.7
2024-01-05 11:13:53,A230443,151,55,58,25.5
2024-01-05 11:55:49,A231934,197,105,79,24.4
